ID Keluarga P3KE,Kecamatan,Desil Kesejahteraan,Persentil,Penerima SEMBAKO
189322601,KALIWUNGU,1,9,0
189322603,KALIWUNGU,1,3,0
189322604,KALIWUNGU,1,5,1
189322606,KALIWUNGU,1,8,0
189322610,KALIWUNGU,1,4,0
189322617,KALIWUNGU,1,6,0
189322619,KALIWUNGU,1,9,0
189322623,KALIWUNGU,1,4,0
189322624,KALIWUNGU,1,5,0
189322626,KALIWUNGU,1,6,0
189322628,KALIWUNGU,1,3,0
189322631,KALIWUNGU,1,1,0
189322634,KALIWUNGU,1,3,0
189322638,KALIWUNGU,1,6,0
189322639,KALIWUNGU,1,4,0
189322642,KALIWUNGU,1,2,0
189322643,KALIWUNGU,1,8,0
189322646,KALIWUNGU,1,5,0
189322649,KALIWUNGU,1,4,0
189322664,KALIWUNGU,1,3,0
189322667,KALIWUNGU,1,2,0
189322675,KALIWUNGU,1,2,0
189322681,KALIWUNGU,1,7,0
189322683,KALIWUNGU,1,8,0
189322684,KALIWUNGU,1,4,0
189322686,KALIWUNGU,1,3,0
189322691,KALIWUNGU,1,4,0
189322692,KALIWUNGU,1,4,0
189322693,KALIWUNGU,1,6,0
189322694,KALIWUNGU,1,1,0
189322695,KALIWUNGU,1,9,0
189322696,KALIWUNGU,1,4,1
189322697,KALIWUNGU,1,2,1
189322698,KALIWUNGU,1,6,0
189322700,KALIWUNGU,1,3,0
189322701,KALIWUNGU,1,9,0
189322703,KALIWUNGU,1,1,0
189322704,KALIWUNGU,1,9,0
189322705,KALIWUNGU,1,5,0
189322707,KALIWUNGU,1,3,0
189322709,KALIWUNGU,1,4,0
189322711,KALIWUNGU,1,4,0
189322724,KALIWUNGU,1,8,1
189322738,KALIWUNGU,1,8,0
189322772,KALIWUNGU,1,4,1
189322793,KALIWUNGU,1,6,0
189322808,KALIWUNGU,1,5,0
189322868,KALIWUNGU,1,8,0
189322894,KALIWUNGU,1,4,1
128290646,KALIWUNGU,2,11,0
189321170,KALIWUNGU,2,15,0
189321180,KALIWUNGU,2,13,1
189321230,KALIWUNGU,2,20,0
189321233,KALIWUNGU,2,20,0
189321247,KALIWUNGU,2,17,0
189321264,KALIWUNGU,2,13,0
189321277,KALIWUNGU,2,19,1
189321290,KALIWUNGU,2,13,1
189321310,KALIWUNGU,2,15,1
189321330,KALIWUNGU,2,14,0
